name	x	y	z
EEG001	-4.36	-7.26	1.94
EEG002	-0.24	9.75	4.51
EEG003	3.68	-7.62	1.76
EEG004	-5.12	7.19	3.78
EEG005	-3.32	8.21	6.45
EEG006	-0.16	8.60	7.98
EEG007	3.15	8.14	6.98
EEG008	4.89	7.35	4.09
EEG009	-5.83	5.55	3.65
EEG010	-5.48	6.14	5.90
EEG011	-4.30	6.45	7.87
EEG012	-2.36	6.48	9.57
EEG013	-0.04	6.60	10.10
EEG014	2.26	5.79	9.93
EEG015	4.03	5.73	8.52
EEG016	5.22	5.53	6.56
EEG017	5.94	4.85	4.02
EEG018	-6.79	2.60	0.86
EEG019	-6.60	2.91	3.56
EEG020	-6.48	3.30	6.51
EEG021	-4.99	3.33	9.11
EEG022	-3.02	3.55	10.88
EEG023	-0.26	2.82	11.65
EEG024	2.66	2.59	10.97
EEG025	4.93	2.50	9.38
EEG026	6.39	2.52	6.69
EEG027	6.68	2.23	4.21
EEG028	6.84	2.61	1.03
EEG029	-6.61	0.72	1.04
EEG030	-7.11	0.02	3.95
EEG031	-6.89	0.29	7.03
EEG032	-5.45	0.21	9.78
EEG033	-2.76	0.35	11.70
EEG034	-0.26	-0.25	12.34
EEG035	2.65	-0.27	11.65
EEG036	5.13	-0.31	9.97
EEG037	6.59	-0.20	7.30
EEG038	7.22	-0.37	3.90
EEG039	6.73	0.68	1.08
EEG040	-6.94	-3.38	0.61
EEG041	-6.96	-2.76	3.99
EEG042	-6.70	-2.79	7.37
EEG043	-5.31	-2.68	9.93
EEG044	-3.06	-2.75	11.54
EEG045	-0.03	-3.42	11.85
EEG046	2.86	-3.32	11.23
EEG047	5.06	-3.29	9.52
EEG048	6.27	-3.05	7.28
EEG049	6.48	-3.33	4.06
EEG050	6.36	-3.44	1.12
EEG051	-5.77	-5.40	1.58
EEG052	-6.02	-5.19	4.89
EEG053	-5.70	-5.38	6.96
EEG054	-4.30	-5.62	8.94
EEG055	-2.42	-5.55	10.21
EEG056	0.04	-5.97	10.21
EEG057	2.45	-5.73	9.93
EEG058	4.10	-5.78	8.70
EEG059	5.31	-5.59	6.62
EEG060	5.62	-5.64	4.39
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	5.40	-5.74	0.99
EEG066	-4.81	-7.38	4.91
EEG067	-3.20	-7.63	7.53
EEG068	0.06	-8.00	7.91
EEG069	2.78	-7.83	7.10
EEG070	4.17	-7.68	4.73
EEG071	-2.85	-8.67	5.19
EEG072	-0.27	-9.04	5.02
EEG073	2.50	-8.76	4.94
EEG074	-0.32	-9.05	1.80
