onset	duration	sample	trial_type	response_time	stim_file	value	HED	face_type	event_type	event_order	trial_dist	time_dist
24.7494545455	n/a	n/a	unfamiliar_new	n/a	u004.bmp	13	n/a	unfamiliar	faces	1	0	0
25.6594545455	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
28.0903636364	n/a	n/a	unfamiliar_second_early	n/a	u004.bmp	14	n/a	unfamiliar	faces	2	1	3.3409
28.8758181818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
31.3976363636	n/a	n/a	scrambled_new	n/a	s077.bmp	17	n/a	scrambled	faces	1	0	0
32.9576363636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
34.5385454545	n/a	n/a	scrambled_second_early	n/a	s077.bmp	18	n/a	scrambled	faces	2	1	3.1409
35.6667272727	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
37.8630909091	n/a	n/a	unfamiliar_new	n/a	u142.bmp	13	n/a	unfamiliar	faces	1	0	0
38.6776363636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
41.1876363636	n/a	n/a	unfamiliar_second_early	n/a	u142.bmp	14	n/a	unfamiliar	faces	2	1	3.3245
41.9985454545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
44.3449090909	n/a	n/a	famous_new	n/a	f036.bmp	5	n/a	famous	faces	1	0	0
45.9658181818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
47.5021818182	n/a	n/a	scrambled_new	n/a	s062.bmp	17	n/a	scrambled	faces	1	0	0
48.5085454545	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
50.7258181818	n/a	n/a	unfamiliar_new	n/a	u094.bmp	13	n/a	unfamiliar	faces	1	0	0
51.8167272727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
53.8667272727	n/a	n/a	unfamiliar_new	n/a	u086.bmp	13	n/a	unfamiliar	faces	1	0	0
54.9112727273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
57.0567272727	n/a	n/a	unfamiliar_second_early	n/a	u086.bmp	14	n/a	unfamiliar	faces	2	1	3.19
57.8676363636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
60.2976363636	n/a	n/a	scrambled_new	n/a	s115.bmp	17	n/a	scrambled	faces	1	0	0
61.7594545455	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
63.4221818182	n/a	n/a	scrambled_new	n/a	s007.bmp	17	n/a	scrambled	faces	1	0	0
64.2940000000	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
66.4958181818	n/a	n/a	scrambled_second_early	n/a	s007.bmp	18	n/a	scrambled	faces	2	1	3.0736
67.1276363636	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
69.7694545455	n/a	n/a	famous_second_late	n/a	f036.bmp	7	n/a	famous	faces	2	8	25.4245
70.7758181818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
72.9440000000	n/a	n/a	unfamiliar_new	n/a	u008.bmp	13	n/a	unfamiliar	faces	1	0	0
73.7712727273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
76.0840000000	n/a	n/a	unfamiliar_second_early	n/a	u008.bmp	14	n/a	unfamiliar	faces	2	1	3.14
76.8576363636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
79.2585454545	n/a	n/a	scrambled_second_late	n/a	s062.bmp	19	n/a	scrambled	faces	2	10	31.7564
79.9603636364	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
82.3158181818	n/a	n/a	scrambled_new	n/a	s067.bmp	17	n/a	scrambled	faces	1	0	0
83.3776363636	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
85.4894545455	n/a	n/a	unfamiliar_second_late	n/a	u094.bmp	15	n/a	unfamiliar	faces	2	11	34.7636
86.6376363636	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
88.7303636364	n/a	n/a	scrambled_new	n/a	s104.bmp	17	n/a	scrambled	faces	1	0	0
89.5549090909	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
