onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
24.20581818	n/a	n/a	unfamiliar_new	n/a	u032.bmp	13	unfamiliar	faces	1	0	0
25.154	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
27.24581818	n/a	n/a	unfamiliar_second_early	n/a	u032.bmp	14	unfamiliar	faces	2	1	3.04
27.89309091	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
30.35309091	n/a	n/a	unfamiliar_new	n/a	u088.bmp	13	unfamiliar	faces	1	0	0
33.36036364	n/a	n/a	unfamiliar_new	n/a	u084.bmp	13	unfamiliar	faces	1	0	0
36.55218182	n/a	n/a	famous_new	n/a	f123.bmp	5	famous	faces	1	0	0
37.31218182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
39.57490909	n/a	n/a	unfamiliar_new	n/a	u022.bmp	13	unfamiliar	faces	1	0	0
42.79854545	n/a	n/a	famous_new	n/a	f094.bmp	5	famous	faces	1	0	0
43.54490909	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
46.03945455	n/a	n/a	scrambled_new	n/a	s150.bmp	17	scrambled	faces	1	0	0
49.13036364	n/a	n/a	unfamiliar_second_late	n/a	u088.bmp	15	unfamiliar	faces	2	6	18.7773
52.38763636	n/a	n/a	famous_new	n/a	f063.bmp	5	famous	faces	1	0	0
53.09672727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
55.54490909	n/a	n/a	unfamiliar_second_late	n/a	u084.bmp	15	unfamiliar	faces	2	7	22.1845
58.80218182	n/a	n/a	unfamiliar_new	n/a	u004.bmp	13	unfamiliar	faces	1	0	0
59.53672727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
61.90945455	n/a	n/a	unfamiliar_second_early	n/a	u004.bmp	14	unfamiliar	faces	2	1	3.1073
62.84672727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
65.10036364	n/a	n/a	famous_second_late	n/a	f123.bmp	7	famous	faces	2	9	28.5482
65.79490909	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
68.42490909	n/a	n/a	famous_new	n/a	f006.bmp	5	famous	faces	1	0	0
69.34309091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
71.59854545	n/a	n/a	unfamiliar_second_late	n/a	u022.bmp	15	unfamiliar	faces	2	10	32.0236
72.32581818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
74.75581818	n/a	n/a	scrambled_new	n/a	s043.bmp	17	scrambled	faces	1	0	0
75.69490909	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
78.06309091	n/a	n/a	scrambled_second_early	n/a	s043.bmp	18	scrambled	faces	2	1	3.3073
78.80672727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
81.18763636	n/a	n/a	famous_second_late	n/a	f094.bmp	7	famous	faces	2	12	38.3891
81.83763636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
84.49490909	n/a	n/a	scrambled_new	n/a	s083.bmp	17	scrambled	faces	1	0	0
85.61490909	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
87.75218182	n/a	n/a	scrambled_second_early	n/a	s083.bmp	18	scrambled	faces	2	1	3.2573
90.89309091	n/a	n/a	scrambled_second_late	n/a	s150.bmp	19	scrambled	faces	2	14	44.8536
93.88309091	n/a	n/a	famous_new	n/a	f093.bmp	5	famous	faces	1	0	0
94.80672727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
97.074	n/a	n/a	famous_second_late	n/a	f063.bmp	7	famous	faces	2	14	44.6864
97.664	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
100.214	n/a	n/a	famous_new	n/a	f143.bmp	5	famous	faces	1	0	0
100.9367273	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
103.4549091	n/a	n/a	famous_second_early	n/a	f143.bmp	6	famous	faces	2	1	3.2409
104.0703636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
106.5621818	n/a	n/a	scrambled_new	n/a	s142.bmp	17	scrambled	faces	1	0	0
107.4094545	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
109.7367273	n/a	n/a	famous_second_late	n/a	f006.bmp	7	famous	faces	2	13	41.3118
110.5212727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
112.994	n/a	n/a	unfamiliar_new	n/a	u131.bmp	13	unfamiliar	faces	1	0	0
113.7403636	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
116.134	n/a	n/a	unfamiliar_new	n/a	u020.bmp	13	unfamiliar	faces	1	0	0
119.2749091	n/a	n/a	unfamiliar_second_early	n/a	u020.bmp	14	unfamiliar	faces	2	1	3.1409
119.8903636	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
122.2985455	n/a	n/a	scrambled_new	n/a	s088.bmp	17	scrambled	faces	1	0	0
123.1330909	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
125.4058182	n/a	n/a	famous_second_late	n/a	f093.bmp	7	famous	faces	2	10	31.5227
126.0812727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
128.5794545	n/a	n/a	scrambled_new	n/a	s081.bmp	17	scrambled	faces	1	0	0
129.774	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
131.754	n/a	n/a	scrambled_second_early	n/a	s081.bmp	18	scrambled	faces	2	1	3.1745
132.7758182	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
135.0776364	n/a	n/a	unfamiliar_new	n/a	u077.bmp	13	unfamiliar	faces	1	0	0
135.9367273	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
138.2021818	n/a	n/a	unfamiliar_second_early	n/a	u077.bmp	14	unfamiliar	faces	2	1	3.1245
139.1194545	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
141.4267273	n/a	n/a	scrambled_second_late	n/a	s142.bmp	19	scrambled	faces	2	11	34.8645
142.3185455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
144.6167273	n/a	n/a	scrambled_new	n/a	s034.bmp	17	scrambled	faces	1	0	0
145.4458182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
147.7403636	n/a	n/a	scrambled_second_early	n/a	s034.bmp	18	scrambled	faces	2	1	3.1236
148.7412727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
150.8976364	n/a	n/a	unfamiliar_second_late	n/a	u131.bmp	15	unfamiliar	faces	2	12	37.9036
151.864	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
151.9712727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
154.2558182	n/a	n/a	unfamiliar_new	n/a	u100.bmp	13	unfamiliar	faces	1	0	0
155.1649091	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
157.4294545	n/a	n/a	unfamiliar_second_early	n/a	u100.bmp	14	unfamiliar	faces	2	1	3.1736
157.9858182	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
160.5030909	n/a	n/a	scrambled_new	n/a	s087.bmp	17	scrambled	faces	1	0	0
161.3249091	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
163.744	n/a	n/a	scrambled_second_early	n/a	s087.bmp	18	scrambled	faces	2	1	3.2409
164.4767273	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
166.9685455	n/a	n/a	scrambled_second_late	n/a	s088.bmp	19	scrambled	faces	2	14	44.67
168.1776364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
170.2258182	n/a	n/a	scrambled_new	n/a	s074.bmp	17	scrambled	faces	1	0	0
