onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
24.034	n/a	n/a	scrambled_new	n/a	s087.bmp	17	scrambled	faces	1	0	0
24.67036364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
27.29127273	n/a	n/a	famous_new	n/a	f099.bmp	5	famous	faces	1	0	0
27.93672727	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
30.56581818	n/a	n/a	famous_second_early	n/a	f099.bmp	6	famous	faces	2	1	3.2745
31.13581818	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
33.63945455	n/a	n/a	famous_new	n/a	f122.bmp	5	famous	faces	1	0	0
34.29218182	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
36.88036364	n/a	n/a	famous_second_early	n/a	f122.bmp	6	famous	faces	2	1	3.2409
37.48854545	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
40.02127273	n/a	n/a	scrambled_new	n/a	s138.bmp	17	scrambled	faces	1	0	0
40.77218182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
43.19490909	n/a	n/a	famous_new	n/a	f139.bmp	5	famous	faces	1	0	0
43.87490909	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
46.41854545	n/a	n/a	famous_new	n/a	f145.bmp	5	famous	faces	1	0	0
47.05854545	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
49.55945455	n/a	n/a	famous_second_early	n/a	f145.bmp	6	famous	faces	2	1	3.1409
50.13763636	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
52.63309091	n/a	n/a	scrambled_second_late	n/a	s087.bmp	19	scrambled	faces	2	9	28.5991
53.30763636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
55.74036364	n/a	n/a	scrambled_new	n/a	s016.bmp	17	scrambled	faces	1	0	0
56.45127273	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
58.88127273	n/a	n/a	unfamiliar_new	n/a	u106.bmp	13	unfamiliar	faces	1	0	0
59.67672727	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
62.00490909	n/a	n/a	unfamiliar_second_early	n/a	u106.bmp	14	unfamiliar	faces	2	1	3.1236
62.78763636	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
65.17854545	n/a	n/a	unfamiliar_new	n/a	u009.bmp	13	unfamiliar	faces	1	0	0
65.74218182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
68.30309091	n/a	n/a	unfamiliar_second_early	n/a	u009.bmp	14	unfamiliar	faces	2	1	3.1245
68.82854545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
71.49309091	n/a	n/a	scrambled_second_late	n/a	s138.bmp	19	scrambled	faces	2	10	31.4718
72.25127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
74.784	n/a	n/a	scrambled_new	n/a	s120.bmp	17	scrambled	faces	1	0	0
75.31672727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
77.94127273	n/a	n/a	scrambled_second_early	n/a	s120.bmp	18	scrambled	faces	2	1	3.1573
78.564	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
81.06581818	n/a	n/a	famous_second_late	n/a	f139.bmp	7	famous	faces	2	12	37.8709
81.70036364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
84.22309091	n/a	n/a	unfamiliar_new	n/a	u136.bmp	13	unfamiliar	faces	1	0	0
84.82309091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
87.24672727	n/a	n/a	famous_new	n/a	f019.bmp	5	famous	faces	1	0	0
87.88581818	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
90.43672727	n/a	n/a	famous_second_early	n/a	f019.bmp	6	famous	faces	2	1	3.19
91.20581818	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
93.46036364	n/a	n/a	scrambled_second_late	n/a	s016.bmp	19	scrambled	faces	2	12	37.72
94.12490909	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
96.73490909	n/a	n/a	scrambled_new	n/a	s019.bmp	17	scrambled	faces	1	0	0
97.52127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
100.0094545	n/a	n/a	unfamiliar_new	n/a	u026.bmp	13	unfamiliar	faces	1	0	0
100.8458182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
103.1330909	n/a	n/a	unfamiliar_new	n/a	u075.bmp	13	unfamiliar	faces	1	0	0
103.7749091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
106.274	n/a	n/a	unfamiliar_second_early	n/a	u075.bmp	14	unfamiliar	faces	2	1	3.1409
106.8749091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
109.5312727	n/a	n/a	scrambled_new	n/a	s030.bmp	17	scrambled	faces	1	0	0
110.244	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
112.6212727	n/a	n/a	scrambled_second_early	n/a	s030.bmp	18	scrambled	faces	2	1	3.09
113.2358182	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
115.6621818	n/a	n/a	unfamiliar_second_late	n/a	u136.bmp	15	unfamiliar	faces	2	10	31.4391
116.4103636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
118.8021818	n/a	n/a	scrambled_new	n/a	s063.bmp	17	scrambled	faces	1	0	0
119.414	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
121.9267273	n/a	n/a	scrambled_second_early	n/a	s063.bmp	18	scrambled	faces	2	1	3.1245
122.544	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
125.1003636	n/a	n/a	famous_new	n/a	f054.bmp	5	famous	faces	1	0	0
125.6749091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
128.124	n/a	n/a	famous_second_early	n/a	f054.bmp	6	famous	faces	2	1	3.0236
128.7676364	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
131.4312727	n/a	n/a	scrambled_second_late	n/a	s019.bmp	19	scrambled	faces	2	11	34.6964
132.0503636	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
134.6058182	n/a	n/a	famous_new	n/a	f048.bmp	5	famous	faces	1	0	0
135.2812727	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
137.6458182	n/a	n/a	unfamiliar_second_late	n/a	u026.bmp	15	unfamiliar	faces	2	12	37.6364
138.3049091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
140.8530909	n/a	n/a	unfamiliar_new	n/a	u059.bmp	13	unfamiliar	faces	1	0	0
141.6630909	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
143.9103636	n/a	n/a	famous_new	n/a	f016.bmp	5	famous	faces	1	0	0
144.5249091	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
147.034	n/a	n/a	famous_second_early	n/a	f016.bmp	6	famous	faces	2	1	3.1236
147.5649091	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
150.2912727	n/a	n/a	scrambled_new	n/a	s040.bmp	17	scrambled	faces	1	0	0
150.9967273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
151.054	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
153.5830909	n/a	n/a	unfamiliar_new	n/a	u140.bmp	13	unfamiliar	faces	1	0	0
154.3849091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
156.8230909	n/a	n/a	scrambled_new	n/a	s149.bmp	17	scrambled	faces	1	0	0
157.3967273	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
160.0812727	n/a	n/a	famous_second_late	n/a	f048.bmp	7	famous	faces	2	8	25.4755
160.8376364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
163.1212727	n/a	n/a	scrambled_new	n/a	s111.bmp	17	scrambled	faces	1	0	0
163.7867273	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
166.2112727	n/a	n/a	unfamiliar_second_late	n/a	u059.bmp	15	unfamiliar	faces	2	8	25.3582
166.8649091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
169.5021818	n/a	n/a	famous_new	n/a	f132.bmp	5	famous	faces	1	0	0
170.1412727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
172.6430909	n/a	n/a	famous_second_early	n/a	f132.bmp	6	famous	faces	2	1	3.1409
173.2758182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
175.8003636	n/a	n/a	unfamiliar_new	n/a	u142.bmp	13	unfamiliar	faces	1	0	0
176.3830909	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
178.874	n/a	n/a	scrambled_second_late	n/a	s040.bmp	19	scrambled	faces	2	9	28.5827
179.4649091	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
182.1649091	n/a	n/a	unfamiliar_new	n/a	u013.bmp	13	unfamiliar	faces	1	0	0
182.7567273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
185.2558182	n/a	n/a	unfamiliar_second_late	n/a	u140.bmp	15	unfamiliar	faces	2	10	31.6727
185.964	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
188.5294545	n/a	n/a	famous_new	n/a	f119.bmp	5	famous	faces	1	0	0
189.6012727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
191.5867273	n/a	n/a	scrambled_second_late	n/a	s149.bmp	19	scrambled	faces	2	11	34.7636
192.2276364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
194.7776364	n/a	n/a	famous_new	n/a	f098.bmp	5	famous	faces	1	0	0
195.4158182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
197.9685455	n/a	n/a	famous_second_early	n/a	f098.bmp	6	famous	faces	2	1	3.1909
198.5212727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
201.0421818	n/a	n/a	scrambled_second_late	n/a	s111.bmp	19	scrambled	faces	2	12	37.9209
201.6794545	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
204.1658182	n/a	n/a	famous_new	n/a	f051.bmp	5	famous	faces	1	0	0
204.7494545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
207.4567273	n/a	n/a	unfamiliar_new	n/a	u072.bmp	13	unfamiliar	faces	1	0	0
208.1249091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
210.614	n/a	n/a	unfamiliar_second_early	n/a	u072.bmp	14	unfamiliar	faces	2	1	3.1573
211.2012727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
213.9549091	n/a	n/a	unfamiliar_second_late	n/a	u142.bmp	15	unfamiliar	faces	2	12	38.1545
214.6012727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
217.2294545	n/a	n/a	famous_new	n/a	f012.bmp	5	famous	faces	1	0	0
217.9294545	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
220.4703636	n/a	n/a	unfamiliar_second_late	n/a	u013.bmp	15	unfamiliar	faces	2	12	38.3055
221.1294545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
223.644	n/a	n/a	unfamiliar_new	n/a	u090.bmp	13	unfamiliar	faces	1	0	0
224.3058182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
226.7349091	n/a	n/a	unfamiliar_second_early	n/a	u090.bmp	14	unfamiliar	faces	2	1	3.0909
227.3721818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
229.7912727	n/a	n/a	famous_second_late	n/a	f119.bmp	7	famous	faces	2	13	41.2618
230.5412727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
232.7985455	n/a	n/a	unfamiliar_new	n/a	u068.bmp	13	unfamiliar	faces	1	0	0
