onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
23.09490909	n/a	n/a	scrambled_new	n/a	s024.bmp	17	scrambled	faces	1	0	0
23.794	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
26.13581818	n/a	n/a	scrambled_new	n/a	s018.bmp	17	scrambled	faces	1	0	0
26.85218182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
29.30945455	n/a	n/a	unfamiliar_new	n/a	u122.bmp	13	unfamiliar	faces	1	0	0
30.12309091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
32.51672727	n/a	n/a	unfamiliar_second_early	n/a	u122.bmp	14	unfamiliar	faces	2	1	3.2073
33.25945455	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
35.65763636	n/a	n/a	scrambled_new	n/a	s028.bmp	17	scrambled	faces	1	0	0
36.35763636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
38.84854545	n/a	n/a	famous_new	n/a	f084.bmp	5	famous	faces	1	0	0
39.46127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
41.97218182	n/a	n/a	famous_second_early	n/a	f084.bmp	6	famous	faces	2	1	3.1236
42.56854545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
45.21309091	n/a	n/a	unfamiliar_new	n/a	u081.bmp	13	unfamiliar	faces	1	0	0
46.04218182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
48.32036364	n/a	n/a	unfamiliar_second_early	n/a	u081.bmp	14	unfamiliar	faces	2	1	3.1073
49.07218182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
51.32672727	n/a	n/a	scrambled_second_late	n/a	s024.bmp	19	scrambled	faces	2	9	28.2318
52.03672727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
54.40036364	n/a	n/a	unfamiliar_new	n/a	u096.bmp	13	unfamiliar	faces	1	0	0
55.21127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
57.59127273	n/a	n/a	scrambled_second_late	n/a	s018.bmp	19	scrambled	faces	2	10	31.4555
58.32490909	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
60.84854545	n/a	n/a	famous_new	n/a	f046.bmp	5	famous	faces	1	0	0
61.97309091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
64.07309091	n/a	n/a	famous_new	n/a	f009.bmp	5	famous	faces	1	0	0
64.75309091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
67.34763636	n/a	n/a	scrambled_second_late	n/a	s028.bmp	19	scrambled	faces	2	10	31.69
68.10036364	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
70.50490909	n/a	n/a	unfamiliar_new	n/a	u055.bmp	13	unfamiliar	faces	1	0	0
71.13218182	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
73.79581818	n/a	n/a	famous_new	n/a	f052.bmp	5	famous	faces	1	0	0
74.40763636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
