name	x	y	z
EEG001	-4.19	-7.31	3.84
EEG002	-0.30	10.48	3.26
EEG003	4.12	-7.20	3.30
EEG004	-5.14	7.78	3.20
EEG005	-3.37	9.39	5.69
EEG006	0.00	9.94	6.91
EEG007	3.18	9.49	5.93
EEG008	4.73	8.10	3.13
EEG009	-6.10	5.91	3.33
EEG010	-5.53	6.80	5.61
EEG011	-4.39	7.41	7.37
EEG012	-2.32	7.79	8.85
EEG013	0.11	7.93	9.30
EEG014	2.45	7.27	9.11
EEG015	4.31	7.09	7.66
EEG016	5.46	6.53	5.57
EEG017	6.10	5.53	3.24
EEG018	-6.71	2.56	1.20
EEG019	-6.89	3.37	3.73
EEG020	-6.51	4.15	6.41
EEG021	-5.03	4.66	8.88
EEG022	-2.27	4.83	11.08
EEG023	0.73	4.90	11.55
EEG024	2.84	4.30	10.68
EEG025	5.04	4.00	9.04
EEG026	6.39	3.60	6.47
EEG027	6.83	3.04	3.85
EEG028	6.30	2.58	0.76
EEG029	-6.99	0.72	1.58
EEG030	-7.27	0.54	4.40
EEG031	-6.73	1.27	7.49
EEG032	-5.14	1.63	9.88
EEG033	-2.54	1.89	11.49
EEG034	0.20	1.43	12.40
EEG035	2.94	1.36	11.63
EEG036	5.24	1.00	10.01
EEG037	6.75	0.71	7.43
EEG038	7.11	0.10	4.36
EEG039	6.30	0.74	1.01
EEG040	-6.73	-3.11	2.29
EEG041	-7.09	-2.32	5.19
EEG042	-6.57	-1.65	8.33
EEG043	-5.04	-1.22	10.63
EEG044	-2.87	-1.19	12.22
EEG045	0.28	-1.77	12.73
EEG046	3.10	-1.69	12.06
EEG047	5.24	-1.95	10.39
EEG048	6.71	-2.16	7.98
EEG049	6.73	-2.96	4.92
EEG050	6.71	-3.43	1.96
EEG051	-5.95	-5.40	3.24
EEG052	-6.25	-4.66	6.32
EEG053	-5.67	-4.45	8.60
EEG054	-4.40	-4.35	10.45
EEG055	-2.28	-4.04	11.85
EEG056	0.16	-4.62	11.67
EEG057	2.78	-4.40	11.27
EEG058	4.46	-4.63	10.01
EEG059	5.72	-4.83	7.85
EEG060	6.06	-4.92	5.65
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	5.46	-5.37	2.74
EEG066	-4.64	-6.72	6.86
EEG067	-2.79	-6.35	9.45
EEG068	-0.06	-6.73	9.75
EEG069	3.03	-6.69	8.94
EEG070	4.30	-7.02	6.46
EEG071	-2.71	-7.82	7.18
EEG072	-0.06	-8.01	6.88
EEG073	2.52	-7.93	6.80
EEG074	-0.25	-8.57	3.65
