name	x	y	z
EEG001	-4.71	-7.86	4.03
EEG002	-0.14	9.76	4.98
EEG003	3.57	-8.41	4.47
EEG004	-4.85	7.17	4.28
EEG005	-3.20	7.71	7.25
EEG006	0.12	8.39	7.87
EEG007	3.35	7.59	7.52
EEG008	5.12	6.74	4.63
EEG009	-5.83	5.05	4.20
EEG010	-5.12	5.80	6.48
EEG011	-3.93	6.11	8.22
EEG012	-2.11	6.33	9.53
EEG013	0.10	6.71	9.92
EEG014	2.23	5.87	9.88
EEG015	4.08	5.47	8.87
EEG016	5.34	5.16	7.04
EEG017	6.12	4.46	4.74
EEG018	-6.41	2.14	1.38
EEG019	-6.59	2.62	4.08
EEG020	-6.17	2.94	7.04
EEG021	-4.80	3.46	9.31
EEG022	-2.96	3.98	10.83
EEG023	-0.04	3.99	11.61
EEG024	2.51	3.20	11.22
EEG025	4.74	2.64	9.92
EEG026	6.16	2.30	7.52
EEG027	6.64	1.70	5.01
EEG028	6.94	1.57	2.34
EEG029	-6.87	0.37	1.77
EEG030	-7.22	-0.35	4.32
EEG031	-6.89	0.23	7.27
EEG032	-5.57	0.78	10.00
EEG033	-2.86	0.93	12.16
EEG034	-0.43	0.46	12.93
EEG035	2.46	0.56	12.49
EEG036	5.07	0.01	10.76
EEG037	6.50	-0.72	8.18
EEG038	6.73	-1.27	5.16
EEG039	6.91	-0.29	2.54
EEG040	-6.69	-3.48	2.58
EEG041	-6.95	-2.86	5.49
EEG042	-6.81	-2.40	8.31
EEG043	-5.54	-1.76	10.76
EEG044	-3.09	-1.92	12.34
EEG045	-0.49	-2.09	12.97
EEG046	2.27	-2.25	12.80
EEG047	4.66	-2.76	11.10
EEG048	6.08	-3.16	8.64
EEG049	6.21	-3.51	5.82
EEG050	6.11	-4.26	2.62
EEG051	-5.85	-6.01	3.39
EEG052	-6.29	-5.34	6.18
EEG053	-5.83	-5.06	8.37
EEG054	-4.83	-4.54	10.36
EEG055	-2.80	-4.74	11.50
EEG056	-0.54	-4.85	11.94
EEG057	1.95	-4.85	11.80
EEG058	3.59	-5.23	10.65
EEG059	4.77	-5.60	8.78
EEG060	5.30	-5.84	6.60
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	5.10	-6.16	3.63
EEG066	-4.97	-7.39	6.94
EEG067	-3.59	-6.77	9.42
EEG068	-0.79	-6.83	10.09
EEG069	2.28	-6.91	9.77
EEG070	3.70	-7.63	7.21
EEG071	-3.09	-8.33	7.52
EEG072	-0.68	-8.68	7.63
EEG073	1.86	-8.33	7.59
EEG074	-0.82	-9.66	4.67
