name	x	y	z
EEG001	-4.06	-7.73	3.85
EEG002	0.01	10.53	3.76
EEG003	4.52	-7.75	3.82
EEG004	-4.69	7.96	3.27
EEG005	-2.91	9.37	5.57
EEG006	0.29	10.15	6.88
EEG007	3.57	9.41	5.94
EEG008	5.22	8.10	3.09
EEG009	-5.90	5.60	3.66
EEG010	-5.22	6.65	5.74
EEG011	-4.16	7.30	7.57
EEG012	-2.22	7.97	9.18
EEG013	0.34	7.77	10.00
EEG014	2.80	7.42	9.67
EEG015	4.86	7.05	8.17
EEG016	6.12	6.61	5.98
EEG017	6.61	5.35	3.71
EEG018	-6.49	2.32	1.19
EEG019	-6.69	3.27	4.15
EEG020	-6.17	4.20	6.71
EEG021	-4.95	4.69	9.18
EEG022	-2.62	5.08	10.81
EEG023	0.17	5.14	11.71
EEG024	3.16	4.65	11.28
EEG025	5.60	4.44	9.70
EEG026	7.08	3.79	7.08
EEG027	7.54	3.01	4.52
EEG028	7.06	2.45	1.33
EEG029	-6.93	0.36	1.30
EEG030	-7.07	0.33	4.65
EEG031	-6.57	1.41	7.81
EEG032	-5.13	1.92	10.34
EEG033	-2.89	2.35	11.99
EEG034	0.33	1.63	13.09
EEG035	3.44	1.85	12.10
EEG036	5.78	1.43	10.78
EEG037	7.54	0.98	8.20
EEG038	7.90	0.18	5.24
EEG039	7.37	0.50	1.73
EEG040	-6.53	-3.46	2.49
EEG041	-6.82	-2.42	5.39
EEG042	-6.60	-1.72	8.65
EEG043	-5.11	-1.21	11.12
EEG044	-2.95	-0.96	12.60
EEG045	0.06	-1.48	13.40
EEG046	3.32	-1.26	12.76
EEG047	5.95	-1.62	11.39
EEG048	7.38	-2.03	8.82
EEG049	7.58	-2.91	5.63
EEG050	7.32	-3.57	2.61
EEG051	-5.60	-5.77	3.19
EEG052	-6.00	-4.93	6.51
EEG053	-5.58	-4.71	8.94
EEG054	-4.22	-4.57	11.00
EEG055	-2.10	-3.85	12.10
EEG056	0.27	-4.44	12.63
EEG057	2.94	-4.03	12.37
EEG058	4.90	-4.51	11.09
EEG059	6.23	-4.89	8.86
EEG060	6.47	-5.24	6.47
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	6.26	-5.85	3.07
EEG066	-4.61	-6.95	7.20
EEG067	-2.81	-6.84	9.79
EEG068	0.13	-7.11	10.38
EEG069	3.48	-6.92	9.69
EEG070	4.77	-7.25	7.10
EEG071	-2.48	-8.27	7.58
EEG072	0.06	-8.69	7.48
EEG073	2.72	-8.30	7.41
EEG074	0.27	-9.14	4.10
