onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
23.74945455	n/a	n/a	unfamiliar_new	n/a	u009.bmp	13	unfamiliar	faces	1	0	0
24.97763636	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
26.95672727	n/a	n/a	unfamiliar_second_early	n/a	u009.bmp	14	unfamiliar	faces	2	1	3.2073
27.70672727	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
30.14763636	n/a	n/a	famous_new	n/a	f052.bmp	5	famous	faces	1	0	0
30.86854545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
33.32218182	n/a	n/a	famous_second_early	n/a	f052.bmp	6	famous	faces	2	1	3.1745
34.14763636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
36.54581818	n/a	n/a	scrambled_new	n/a	s112.bmp	17	scrambled	faces	1	0	0
38.33672727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
39.85309091	n/a	n/a	famous_new	n/a	f100.bmp	5	famous	faces	1	0	0
40.60854545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
43.02763636	n/a	n/a	famous_second_early	n/a	f100.bmp	6	famous	faces	2	1	3.1745
43.70127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
46.21854545	n/a	n/a	scrambled_new	n/a	s077.bmp	17	scrambled	faces	1	0	0
47.13490909	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
49.35854545	n/a	n/a	famous_new	n/a	f045.bmp	5	famous	faces	1	0	0
50.504	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
52.61581818	n/a	n/a	famous_second_early	n/a	f045.bmp	6	famous	faces	2	1	3.2573
53.39218182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
55.80672727	n/a	n/a	scrambled_new	n/a	s053.bmp	17	scrambled	faces	1	0	0
56.61945455	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
59.18218182	n/a	n/a	unfamiliar_new	n/a	u068.bmp	13	unfamiliar	faces	1	0	0
60.54763636	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
62.40581818	n/a	n/a	unfamiliar_second_early	n/a	u068.bmp	14	unfamiliar	faces	2	1	3.2236
63.29581818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
65.67945455	n/a	n/a	scrambled_second_late	n/a	s112.bmp	19	scrambled	faces	2	9	29.1336
66.75036364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
68.82036364	n/a	n/a	famous_new	n/a	f042.bmp	5	famous	faces	1	0	0
69.66581818	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
71.92763636	n/a	n/a	scrambled_new	n/a	s114.bmp	17	scrambled	faces	1	0	0
73.05127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
75.06763636	n/a	n/a	scrambled_second_late	n/a	s077.bmp	19	scrambled	faces	2	9	28.8491
75.84490909	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
78.27490909	n/a	n/a	famous_new	n/a	f057.bmp	5	famous	faces	1	0	0
