name	x	y	z
EEG001	-3.92	-8.26	3.11
EEG002	-0.04	11.25	4.38
EEG003	4.97	-8.16	2.71
EEG004	-5.22	8.35	4.62
EEG005	-3.34	9.62	7.53
EEG006	0.15	10.59	8.14
EEG007	3.83	9.67	7.80
EEG008	5.64	8.80	4.47
EEG009	-6.40	5.85	4.80
EEG010	-5.78	6.49	7.06
EEG011	-4.53	6.76	9.21
EEG012	-2.48	7.29	10.40
EEG013	0.26	7.93	10.95
EEG014	3.07	7.60	10.75
EEG015	5.20	7.03	9.78
EEG016	6.63	6.69	7.54
EEG017	7.05	5.92	5.03
EEG018	-7.15	2.08	1.71
EEG019	-7.31	2.99	5.12
EEG020	-6.64	3.47	8.16
EEG021	-5.18	3.74	10.57
EEG022	-2.72	4.24	12.19
EEG023	0.36	4.33	13.19
EEG024	3.46	3.84	12.67
EEG025	6.00	3.78	11.01
EEG026	7.65	3.58	8.57
EEG027	7.91	3.20	5.52
EEG028	7.72	2.49	1.96
EEG029	-7.18	0.38	1.86
EEG030	-7.53	-0.11	5.22
EEG031	-7.33	0.17	8.90
EEG032	-5.57	0.54	11.46
EEG033	-2.82	0.75	13.15
EEG034	0.32	0.38	14.25
EEG035	3.60	0.26	13.66
EEG036	6.64	0.37	11.87
EEG037	8.51	0.21	9.12
EEG038	8.54	0.15	5.67
EEG039	7.82	0.76	2.22
EEG040	-6.69	-4.02	2.47
EEG041	-7.16	-3.27	5.78
EEG042	-6.88	-3.03	9.24
EEG043	-5.21	-2.76	11.82
EEG044	-2.81	-2.77	13.36
EEG045	0.34	-2.99	14.01
EEG046	3.74	-3.13	13.66
EEG047	6.57	-3.05	11.86
EEG048	8.28	-2.92	9.27
EEG049	8.43	-2.88	5.57
EEG050	7.79	-3.55	2.20
EEG051	-5.54	-6.32	2.85
EEG052	-6.23	-5.89	6.17
EEG053	-5.54	-6.00	8.85
EEG054	-4.20	-5.70	11.13
EEG055	-2.13	-5.89	12.20
EEG056	0.33	-6.43	12.51
EEG057	3.15	-6.20	12.32
EEG058	5.54	-6.21	10.97
EEG059	7.03	-6.15	8.75
EEG060	7.51	-5.82	5.85
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	6.92	-5.92	2.56
EEG066	-4.45	-8.16	6.51
EEG067	-2.53	-8.58	9.19
EEG068	0.59	-8.88	9.85
EEG069	4.11	-8.44	9.39
EEG070	5.84	-8.07	6.13
EEG071	-2.36	-9.61	6.52
EEG072	0.61	-10.03	6.47
EEG073	3.39	-9.62	6.54
EEG074	0.35	-9.69	2.94
