onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
24.83218182	n/a	n/a	unfamiliar_new	n/a	u109.bmp	13	unfamiliar	faces	1	0	0
26.44581818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
28.13945455	n/a	n/a	unfamiliar_second_early	n/a	u109.bmp	14	unfamiliar	faces	2	1	3.3073
31.33036364	n/a	n/a	scrambled_new	n/a	s079.bmp	17	scrambled	faces	1	0	0
34.454	n/a	n/a	scrambled_second_early	n/a	s079.bmp	18	scrambled	faces	2	1	3.1236
36.83672727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
37.57763636	n/a	n/a	unfamiliar_new	n/a	u011.bmp	13	unfamiliar	faces	1	0	0
40.78581818	n/a	n/a	unfamiliar_second_early	n/a	u011.bmp	14	unfamiliar	faces	2	1	3.2082
44.04309091	n/a	n/a	unfamiliar_new	n/a	u083.bmp	13	unfamiliar	faces	1	0	0
47.30036364	n/a	n/a	famous_new	n/a	f092.bmp	5	famous	faces	1	0	0
48.24036364	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
50.60763636	n/a	n/a	famous_new	n/a	f099.bmp	5	famous	faces	1	0	0
52.13854545	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
53.93218182	n/a	n/a	unfamiliar_new	n/a	u050.bmp	13	unfamiliar	faces	1	0	0
57.10672727	n/a	n/a	famous_new	n/a	f063.bmp	5	famous	faces	1	0	0
58.12581818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
60.28036364	n/a	n/a	famous_second_early	n/a	f063.bmp	6	famous	faces	2	1	3.1736
61.43218182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
63.47127273	n/a	n/a	scrambled_new	n/a	s010.bmp	17	scrambled	faces	1	0	0
65.14309091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
66.74490909	n/a	n/a	scrambled_second_early	n/a	s010.bmp	18	scrambled	faces	2	1	3.2736
68.00218182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
69.91945455	n/a	n/a	unfamiliar_second_late	n/a	u083.bmp	15	unfamiliar	faces	2	8	25.8764
71.34490909	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	button_press	0	0	0
73.09309091	n/a	n/a	unfamiliar_new	n/a	u053.bmp	13	unfamiliar	faces	1	0	0
76.20036364	n/a	n/a	famous_second_late	n/a	f092.bmp	7	famous	faces	2	9	28.9
78.08581818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
79.40763636	n/a	n/a	unfamiliar_new	n/a	u142.bmp	13	unfamiliar	faces	1	0	0
82.66490909	n/a	n/a	famous_second_late	n/a	f099.bmp	7	famous	faces	2	10	32.0573
84.29672727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
85.90581818	n/a	n/a	scrambled_new	n/a	s005.bmp	17	scrambled	faces	1	0	0
87.54218182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
89.11309091	n/a	n/a	unfamiliar_second_late	n/a	u050.bmp	15	unfamiliar	faces	2	11	35.1809
92.28763636	n/a	n/a	scrambled_new	n/a	s130.bmp	17	scrambled	faces	1	0	0
94.284	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
95.46218182	n/a	n/a	unfamiliar_new	n/a	u064.bmp	13	unfamiliar	faces	1	0	0
98.78581818	n/a	n/a	scrambled_new	n/a	s085.bmp	17	scrambled	faces	1	0	0
100.1930909	n/a	n/a	right_sym	n/a	n/a	4096	n/a	button_press	0	0	0
