onset	duration	sample	trial_type	response_time	stim_file	value	HED	face_type	event_type	event_order	trial_dist	time_dist
25.4785454545	n/a	n/a	unfamiliar_new	n/a	u094.bmp	13	n/a	unfamiliar	faces	1	0	0
26.1349090909	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
28.5012727273	n/a	n/a	scrambled_new	n/a	s117.bmp	17	n/a	scrambled	faces	1	0	0
29.3567272727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
31.6421818182	n/a	n/a	scrambled_second_early	n/a	s117.bmp	18	n/a	scrambled	faces	2	1	3.1409
32.3894545455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
34.8658181818	n/a	n/a	famous_new	n/a	f113.bmp	5	n/a	famous	faces	1	0	0
35.6330909091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
37.9403636364	n/a	n/a	famous_second_early	n/a	f113.bmp	6	n/a	famous	faces	2	1	3.0745
38.8385454545	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
41.1476363636	n/a	n/a	scrambled_new	n/a	s032.bmp	17	n/a	scrambled	faces	1	0	0
41.8212727273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
44.3549090909	n/a	n/a	scrambled_second_early	n/a	s032.bmp	18	n/a	scrambled	faces	2	1	3.2073
45.3767272727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
47.5785454545	n/a	n/a	scrambled_new	n/a	s059.bmp	17	n/a	scrambled	faces	1	0	0
48.3903636364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
50.8530909091	n/a	n/a	scrambled_second_early	n/a	s059.bmp	18	n/a	scrambled	faces	2	1	3.2745
51.9694545455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
53.9603636364	n/a	n/a	unfamiliar_new	n/a	u025.bmp	13	n/a	unfamiliar	faces	1	0	0
57.0003636364	n/a	n/a	unfamiliar_second_early	n/a	u025.bmp	14	n/a	unfamiliar	faces	2	1	3.04
57.6558181818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
60.1912727273	n/a	n/a	unfamiliar_second_late	n/a	u094.bmp	15	n/a	unfamiliar	faces	2	11	34.7127
61.1785454545	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
63.4158181818	n/a	n/a	unfamiliar_new	n/a	u017.bmp	13	n/a	unfamiliar	faces	1	0	0
64.2694545455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
66.4894545455	n/a	n/a	scrambled_new	n/a	s115.bmp	17	n/a	scrambled	faces	1	0	0
67.3140000000	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
69.7467272727	n/a	n/a	unfamiliar_new	n/a	u068.bmp	13	n/a	unfamiliar	faces	1	0	0
70.5267272727	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
72.7703636364	n/a	n/a	unfamiliar_second_early	n/a	u068.bmp	14	n/a	unfamiliar	faces	2	1	3.0236
73.3585454545	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
75.9776363636	n/a	n/a	famous_new	n/a	f009.bmp	5	n/a	famous	faces	1	0	0
76.7121818182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
79.0849090909	n/a	n/a	unfamiliar_new	n/a	u069.bmp	13	n/a	unfamiliar	faces	1	0	0
80.0649090909	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
82.2085454545	n/a	n/a	famous_new	n/a	f035.bmp	5	n/a	famous	faces	1	0	0
83.1376363636	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
85.4658181818	n/a	n/a	unfamiliar_second_late	n/a	u017.bmp	15	n/a	unfamiliar	faces	2	7	22.05
86.4212727273	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
88.7067272727	n/a	n/a	famous_new	n/a	f048.bmp	5	n/a	famous	faces	1	0	0
89.4949090909	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
91.8812727273	n/a	n/a	scrambled_second_late	n/a	s115.bmp	19	n/a	scrambled	faces	2	8	25.3918
92.5721818182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
95.1721818182	n/a	n/a	famous_new	n/a	f040.bmp	5	n/a	famous	faces	1	0	0
95.8721818182	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
