name	x	y	z
EEG001	-4.74	-7.18	0.40
EEG002	0.06	10.08	4.88
EEG003	3.96	-7.28	-0.35
EEG004	-5.04	7.79	4.12
EEG005	-2.99	8.48	6.81
EEG006	0.35	8.59	8.03
EEG007	3.40	8.20	6.89
EEG008	5.18	7.72	4.04
EEG009	-6.33	5.92	3.93
EEG010	-5.44	6.10	6.12
EEG011	-4.05	6.13	8.18
EEG012	-1.95	5.97	9.63
EEG013	0.24	6.00	10.15
EEG014	2.74	5.25	9.74
EEG015	4.62	5.44	8.19
EEG016	5.83	5.51	6.07
EEG017	6.75	5.19	3.63
EEG018	-7.19	3.01	0.81
EEG019	-7.29	3.21	3.70
EEG020	-6.49	3.21	6.65
EEG021	-4.89	2.97	8.99
EEG022	-2.70	2.81	10.47
EEG023	0.32	2.08	11.28
EEG024	3.06	1.92	10.40
EEG025	5.40	2.13	8.67
EEG026	6.98	2.43	5.98
EEG027	7.56	2.45	3.50
EEG028	7.08	2.96	0.48
EEG029	-7.25	1.25	0.76
EEG030	-7.58	0.17	3.57
EEG031	-7.00	0.00	6.87
EEG032	-5.65	-0.36	9.31
EEG033	-2.44	-0.54	10.70
EEG034	0.26	-1.24	11.60
EEG035	3.11	-1.18	10.66
EEG036	5.58	-0.95	8.97
EEG037	7.11	-0.59	6.06
EEG038	7.66	-0.12	2.90
EEG039	7.34	1.10	0.21
EEG040	-7.27	-2.95	0.22
EEG041	-7.21	-2.83	3.36
EEG042	-6.47	-2.96	6.50
EEG043	-5.03	-3.19	8.95
EEG044	-2.79	-3.82	10.29
EEG045	0.38	-4.50	10.69
EEG046	3.10	-4.20	9.81
EEG047	5.37	-3.88	8.19
EEG048	6.48	-3.37	5.74
EEG049	6.93	-3.39	2.43
EEG050	6.98	-3.27	-0.46
EEG051	-6.16	-5.31	0.23
EEG052	-6.25	-5.36	3.51
EEG053	-5.45	-5.56	5.77
EEG054	-4.05	-5.95	7.54
EEG055	-2.15	-6.13	8.92
EEG056	0.18	-6.57	8.57
EEG057	2.55	-6.26	8.21
EEG058	4.17	-6.23	6.90
EEG059	5.44	-5.75	4.74
EEG060	5.91	-5.53	2.58
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	5.67	-5.36	-0.20
EEG066	-4.65	-7.24	3.43
EEG067	-2.89	-7.62	5.74
EEG068	0.10	-7.99	5.79
EEG069	2.87	-7.93	4.99
EEG070	4.17	-7.50	2.65
EEG071	-2.67	-8.33	3.37
EEG072	-0.11	-8.82	2.98
EEG073	2.56	-8.56	2.71
EEG074	-0.28	-8.62	-0.38
