onset	duration	sample	trial_type	response_time	stim_file	value	HED	face_type	event_type	event_order	trial_dist	time_dist
23.7140000000	n/a	n/a	unfamiliar_new	n/a	u072.bmp	13	n/a	unfamiliar	faces	1	0	0
24.4994545455	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
26.9049090909	n/a	n/a	unfamiliar_second_early	n/a	u072.bmp	14	n/a	unfamiliar	faces	2	1	3.1909
27.5912727273	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
30.2294545455	n/a	n/a	famous_new	n/a	f124.bmp	5	n/a	famous	faces	1	0	0
31.1694545455	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
33.5203636364	n/a	n/a	unfamiliar_new	n/a	u063.bmp	13	n/a	unfamiliar	faces	1	0	0
34.3249090909	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
36.6776363636	n/a	n/a	unfamiliar_second_early	n/a	u063.bmp	14	n/a	unfamiliar	faces	2	1	3.1573
37.5730909091	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
39.8849090909	n/a	n/a	unfamiliar_new	n/a	u085.bmp	13	n/a	unfamiliar	faces	1	0	0
41.1240000000	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
43.1594545455	n/a	n/a	unfamiliar_second_early	n/a	u085.bmp	14	n/a	unfamiliar	faces	2	1	3.2745
43.8921818182	n/a	n/a	left_sym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
46.4503636364	n/a	n/a	famous_new	n/a	f148.bmp	5	n/a	famous	faces	1	0	0
47.1440000000	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
49.5740000000	n/a	n/a	scrambled_new	n/a	s144.bmp	17	n/a	scrambled	faces	1	0	0
50.3512727273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
