name	x	y	z
EEG001	-4.19	-7.60	3.03
EEG002	-0.08	9.64	5.05
EEG003	4.84	-7.52	2.53
EEG004	-4.79	6.84	4.75
EEG005	-2.76	7.85	7.07
EEG006	0.24	8.31	8.24
EEG007	3.54	8.05	7.07
EEG008	5.31	7.51	4.51
EEG009	-6.18	4.29	5.03
EEG010	-5.16	4.93	7.01
EEG011	-3.75	5.17	8.84
EEG012	-1.67	5.51	10.16
EEG013	0.64	5.81	10.68
EEG014	2.80	5.70	10.27
EEG015	4.86	5.77	8.56
EEG016	6.17	5.58	6.68
EEG017	6.94	5.01	4.36
EEG018	-7.19	1.56	2.61
EEG019	-7.13	1.78	5.44
EEG020	-6.13	2.10	8.05
EEG021	-4.51	2.19	10.26
EEG022	-2.18	2.61	11.81
EEG023	0.49	2.63	12.31
EEG024	3.41	2.63	11.52
EEG025	5.74	2.60	9.69
EEG026	7.32	2.56	7.08
EEG027	7.96	2.21	4.57
EEG028	7.93	2.92	1.58
EEG029	-7.62	-0.06	2.22
EEG030	-7.47	-0.76	5.23
EEG031	-6.70	-0.58	8.46
EEG032	-5.04	-0.36	10.93
EEG033	-2.46	0.18	12.31
EEG034	0.19	-0.29	13.14
EEG035	3.37	-0.19	12.49
EEG036	6.08	-0.27	10.74
EEG037	7.72	-0.27	7.93
EEG038	8.25	-0.21	4.83
EEG039	7.94	0.92	1.80
EEG040	-6.90	-3.90	2.44
EEG041	-7.11	-3.68	5.52
EEG042	-6.42	-3.45	8.73
EEG043	-4.83	-3.20	11.07
EEG044	-2.30	-3.05	12.68
EEG045	0.57	-3.16	12.88
EEG046	3.45	-2.99	12.34
EEG047	5.88	-3.15	10.77
EEG048	7.42	-3.03	8.16
EEG049	7.74	-3.29	5.03
EEG050	7.51	-3.44	1.78
EEG051	-5.66	-5.94	2.79
EEG052	-6.01	-6.18	5.99
EEG053	-5.22	-6.18	8.31
EEG054	-3.96	-6.13	10.17
EEG055	-1.88	-5.75	11.46
EEG056	0.64	-6.21	11.46
EEG057	3.10	-5.76	11.21
EEG058	5.02	-5.85	9.98
EEG059	6.36	-5.63	7.76
EEG060	6.68	-5.67	5.32
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	6.41	-5.56	2.12
EEG066	-4.24	-7.89	6.08
EEG067	-2.53	-8.13	8.60
EEG068	0.59	-8.41	9.07
EEG069	3.35	-8.02	8.27
EEG070	4.91	-7.70	5.60
EEG071	-2.24	-9.32	6.26
EEG072	0.30	-9.53	5.99
EEG073	3.02	-9.01	5.95
EEG074	0.24	-9.11	2.70
