name	x	y	z
EEG001	-5.02	-7.22	2.95
EEG002	0.07	10.56	3.91
EEG003	3.70	-7.61	3.16
EEG004	-5.11	7.52	3.06
EEG005	-3.10	9.20	6.07
EEG006	0.06	9.58	7.33
EEG007	3.29	9.16	6.23
EEG008	5.10	7.90	3.60
EEG009	-5.91	5.81	3.50
EEG010	-5.33	6.91	5.68
EEG011	-4.19	7.31	7.56
EEG012	-1.92	7.65	9.03
EEG013	0.21	7.83	9.64
EEG014	2.69	7.55	9.40
EEG015	4.40	6.94	8.25
EEG016	5.73	6.37	6.35
EEG017	6.23	5.33	4.06
EEG018	-7.00	2.89	0.79
EEG019	-6.90	3.52	3.79
EEG020	-6.34	4.25	6.46
EEG021	-4.93	4.47	8.81
EEG022	-2.41	4.79	10.15
EEG023	-0.68	4.62	11.51
EEG024	2.36	4.50	11.01
EEG025	5.10	4.23	9.18
EEG026	6.57	3.57	7.02
EEG027	7.18	2.73	4.57
EEG028	6.98	2.42	1.27
EEG029	-7.19	0.89	1.02
EEG030	-7.50	0.73	4.28
EEG031	-6.91	1.39	7.52
EEG032	-5.30	1.53	9.74
EEG033	-3.41	1.84	11.32
EEG034	-0.69	1.80	12.18
EEG035	2.78	1.23	12.05
EEG036	5.16	1.05	10.58
EEG037	7.05	0.62	8.05
EEG038	7.51	-0.07	4.73
EEG039	7.45	0.24	1.22
EEG040	-7.25	-3.01	1.77
EEG041	-7.55	-2.14	4.88
EEG042	-7.36	-1.81	8.04
EEG043	-5.76	-1.31	10.31
EEG044	-3.37	-1.20	12.07
EEG045	-0.37	-1.98	12.91
EEG046	2.72	-1.76	12.28
EEG047	5.09	-2.07	10.79
EEG048	6.67	-2.24	8.62
EEG049	6.75	-3.07	5.27
EEG050	7.01	-3.86	1.81
EEG051	-6.57	-5.42	2.44
EEG052	-6.61	-4.76	5.67
EEG053	-6.27	-4.46	8.03
EEG054	-4.89	-4.48	10.19
EEG055	-2.97	-4.11	11.51
EEG056	-0.54	-4.68	11.67
EEG057	2.07	-4.56	11.48
EEG058	4.07	-4.78	10.29
EEG059	5.25	-4.94	8.06
EEG060	5.52	-5.23	5.74
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	5.53	-5.64	2.78
EEG066	-5.28	-6.57	6.14
EEG067	-3.75	-6.66	8.65
EEG068	-0.44	-6.95	9.33
EEG069	2.62	-6.84	8.64
EEG070	3.78	-7.14	6.33
EEG071	-3.33	-8.07	6.55
EEG072	-0.67	-8.57	6.43
EEG073	1.80	-8.40	6.62
EEG074	-0.61	-9.33	3.01
