onset	duration	sample	trial_type	response_time	stim_file	value	HED	face_type	event_type	event_order	trial_dist	time_dist
23.0840000000	n/a	n/a	scrambled_new	n/a	s143.bmp	17	n/a	scrambled	faces	1	0	0
23.6185454545	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
26.1076363636	n/a	n/a	scrambled_new	n/a	s051.bmp	17	n/a	scrambled	faces	1	0	0
26.7030909091	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
29.1312727273	n/a	n/a	scrambled_second_early	n/a	s051.bmp	18	n/a	scrambled	faces	2	1	3.0236
29.7603636364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
32.4885454545	n/a	n/a	famous_new	n/a	f101.bmp	5	n/a	famous	faces	1	0	0
33.1803636364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
35.4967272727	n/a	n/a	famous_second_early	n/a	f101.bmp	6	n/a	famous	faces	2	1	3.0082
36.0885454545	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
38.7367272727	n/a	n/a	scrambled_new	n/a	s010.bmp	17	n/a	scrambled	faces	1	0	0
39.3967272727	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
41.8440000000	n/a	n/a	scrambled_second_early	n/a	s010.bmp	18	n/a	scrambled	faces	2	1	3.1073
42.4294545455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
44.9676363636	n/a	n/a	scrambled_new	n/a	s055.bmp	17	n/a	scrambled	faces	1	0	0
45.5294545455	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
48.3085454545	n/a	n/a	scrambled_new	n/a	s048.bmp	17	n/a	scrambled	faces	1	0	0
48.9658181818	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
51.4994545455	n/a	n/a	scrambled_second_early	n/a	s048.bmp	18	n/a	scrambled	faces	2	1	3.1909
52.2221818182	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
54.6894545455	n/a	n/a	scrambled_second_late	n/a	s143.bmp	19	n/a	scrambled	faces	2	10	31.6055
55.2803636364	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
57.9640000000	n/a	n/a	unfamiliar_new	n/a	u104.bmp	13	n/a	unfamiliar	faces	1	0	0
58.7130909091	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
61.0712727273	n/a	n/a	unfamiliar_new	n/a	u056.bmp	13	n/a	unfamiliar	faces	1	0	0
61.6440000000	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
64.2621818182	n/a	n/a	scrambled_new	n/a	s071.bmp	17	n/a	scrambled	faces	1	0	0
64.8694545455	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
67.3521818182	n/a	n/a	unfamiliar_new	n/a	u046.bmp	13	n/a	unfamiliar	faces	1	0	0
67.8821818182	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
70.5094545455	n/a	n/a	scrambled_second_late	n/a	s055.bmp	19	n/a	scrambled	faces	2	8	25.5418
71.1685454545	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
73.8003636364	n/a	n/a	unfamiliar_new	n/a	u132.bmp	13	n/a	unfamiliar	faces	1	0	0
74.3940000000	n/a	n/a	right_sym	n/a	n/a	4096	n/a	n/a	button_press	0	0	0
77.0412727273	n/a	n/a	unfamiliar_new	n/a	u099.bmp	13	n/a	unfamiliar	faces	1	0	0
77.6340000000	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
80.1485454545	n/a	n/a	unfamiliar_second_early	n/a	u099.bmp	14	n/a	unfamiliar	faces	2	1	3.1073
80.6849090909	n/a	n/a	left_nonsym	n/a	n/a	256	n/a	n/a	button_press	0	0	0
