name	x	y	z
EEG001	-3.89	-7.73	4.79
EEG002	0.06	9.74	3.91
EEG003	4.35	-7.74	4.46
EEG004	-5.04	7.04	4.25
EEG005	-3.03	7.88	6.92
EEG006	0.17	8.79	7.18
EEG007	3.54	8.19	6.52
EEG008	5.30	7.42	3.59
EEG009	-6.15	5.05	4.65
EEG010	-5.20	5.93	6.63
EEG011	-3.74	6.30	8.14
EEG012	-1.92	6.62	9.29
EEG013	0.52	6.95	9.33
EEG014	2.81	6.74	8.76
EEG015	4.79	6.35	7.51
EEG016	5.71	6.13	5.67
EEG017	6.31	5.26	3.67
EEG018	-7.44	1.80	2.06
EEG019	-6.87	2.42	4.90
EEG020	-6.11	3.16	7.59
EEG021	-4.44	3.73	9.36
EEG022	-2.17	4.28	10.65
EEG023	0.78	4.45	10.84
EEG024	3.36	4.30	10.08
EEG025	5.25	3.53	9.19
EEG026	6.63	3.18	6.80
EEG027	7.11	2.32	4.25
EEG028	7.11	1.98	1.90
EEG029	-7.13	0.49	2.46
EEG030	-7.04	-0.14	5.22
EEG031	-6.54	0.55	8.04
EEG032	-4.75	1.28	10.21
EEG033	-2.30	1.58	11.81
EEG034	0.49	1.64	12.08
EEG035	3.18	1.37	11.63
EEG036	5.62	0.76	9.88
EEG037	6.96	0.14	7.41
EEG038	7.33	-0.79	4.63
EEG039	7.25	0.08	1.93
EEG040	-6.42	-3.55	3.12
EEG041	-6.46	-2.87	6.07
EEG042	-5.99	-2.04	8.74
EEG043	-4.43	-1.34	10.78
EEG044	-2.27	-1.15	12.17
EEG045	0.48	-1.12	12.39
EEG046	2.91	-1.27	12.08
EEG047	5.18	-1.91	10.45
EEG048	6.44	-2.45	8.14
EEG049	6.66	-3.11	5.31
EEG050	6.64	-3.94	2.48
EEG051	-5.54	-5.67	4.05
EEG052	-5.66	-4.91	6.88
EEG053	-5.08	-4.39	8.73
EEG054	-3.85	-3.81	10.57
EEG055	-1.93	-3.82	11.47
EEG056	0.69	-3.72	11.77
EEG057	2.92	-3.74	11.51
EEG058	4.27	-4.22	10.19
EEG059	5.40	-4.67	8.27
EEG060	5.92	-5.01	6.21
EEG061	n/a	n/a	n/a
EEG062	n/a	n/a	n/a
EEG063	n/a	n/a	n/a
EEG064	n/a	n/a	n/a
EEG065	5.65	-5.90	3.42
EEG066	-4.11	-6.70	7.45
EEG067	-2.64	-5.99	9.54
EEG068	0.15	-6.05	10.26
EEG069	3.29	-5.90	9.53
EEG070	4.63	-6.64	6.98
EEG071	-2.35	-7.58	7.96
EEG072	0.14	-7.99	7.90
EEG073	2.69	-7.58	7.72
EEG074	0.14	-8.96	5.10
