onset	duration	sample	trial_type	response_time	stim_file	value	face_type	event_type	event_order	trial_dist	time_dist
23.76127273	n/a	n/a	famous_new	n/a	f093.bmp	5	famous	faces	1	0	0
25.09218182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
27.01854545	n/a	n/a	famous_second_early	n/a	f093.bmp	6	famous	faces	2	1	3.2573
28.38127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
30.27581818	n/a	n/a	scrambled_new	n/a	s076.bmp	17	scrambled	faces	1	0	0
31.66127273	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
33.45036364	n/a	n/a	scrambled_second_early	n/a	s076.bmp	18	scrambled	faces	2	1	3.1745
34.764	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
36.59036364	n/a	n/a	unfamiliar_new	n/a	u145.bmp	13	unfamiliar	faces	1	0	0
37.96036364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
39.74763636	n/a	n/a	unfamiliar_second_early	n/a	u145.bmp	14	unfamiliar	faces	2	1	3.1573
41.21036364	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
42.85490909	n/a	n/a	famous_new	n/a	f104.bmp	5	famous	faces	1	0	0
44.30672727	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
46.04581818	n/a	n/a	famous_new	n/a	f026.bmp	5	famous	faces	1	0	0
47.55036364	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
49.28672727	n/a	n/a	famous_new	n/a	f007.bmp	5	famous	faces	1	0	0
50.83763636	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
52.494	n/a	n/a	scrambled_new	n/a	s111.bmp	17	scrambled	faces	1	0	0
53.80218182	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
55.81854545	n/a	n/a	scrambled_new	n/a	s080.bmp	17	scrambled	faces	1	0	0
57.05854545	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
58.92581818	n/a	n/a	unfamiliar_new	n/a	u094.bmp	13	unfamiliar	faces	1	0	0
60.33127273	n/a	n/a	left_sym	n/a	n/a	256	n/a	button_press	0	0	0
62.08309091	n/a	n/a	unfamiliar_second_early	n/a	u094.bmp	14	unfamiliar	faces	2	1	3.1573
63.504	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
65.15672727	n/a	n/a	famous_second_late	n/a	f104.bmp	7	famous	faces	2	7	22.3018
66.69309091	n/a	n/a	right_nonsym	n/a	n/a	4096	n/a	button_press	0	0	0
